,Class,Aspect,Period,Points
714,Test,Collaborative,Period 4,5
715,Test,Collaborative,Period 4,7
716,Test,Collaborative,Period 4,7
717,Test,Collaborative,Period 4,5
718,Test,Collaborative,Period 4,5
719,Test,Collaborative,Period 4,5
720,Test,Free Expression,Period 1,4
721,Test,Free Expression,Period 1,4
722,Test,Free Expression,Period 1,4
723,Test,Free Expression,Period 1,4
724,Test,Free Expression,Period 1,4
725,Test,Free Expression,Period 1,5
726,Test,Free Expression,Period 1,4
727,Test,Free Expression,Period 1,4
728,Test,Free Expression,Period 1,4
729,Test,Free Expression,Period 1,5
730,Test,Free Expression,Period 1,3
731,Test,Free Expression,Period 1,4
732,Test,Free Expression,Period 1,4
733,Test,Free Expression,Period 1,4
734,Test,Free Expression,Period 1,4
735,Test,Free Expression,Period 2,4
736,Test,Free Expression,Period 2,4
737,Test,Free Expression,Period 2,4
738,Test,Free Expression,Period 2,5
739,Test,Free Expression,Period 2,4
740,Test,Free Expression,Period 2,4
741,Test,Free Expression,Period 2,4
742,Test,Free Expression,Period 2,5
743,Test,Free Expression,Period 2,5
744,Test,Free Expression,Period 2,5
745,Test,Free Expression,Period 2,5
746,Test,Free Expression,Period 2,4
747,Test,Free Expression,Period 2,4
748,Test,Free Expression,Period 2,4
749,Test,Free Expression,Period 2,5
750,Test,Free Expression,Period 3,5
751,Test,Free Expression,Period 3,5
752,Test,Free Expression,Period 3,5
753,Test,Free Expression,Period 3,5
754,Test,Free Expression,Period 3,5
755,Test,Free Expression,Period 3,5
756,Test,Free Expression,Period 3,5
757,Test,Free Expression,Period 3,5
758,Test,Free Expression,Period 3,5
759,Test,Free Expression,Period 3,4
760,Test,Free Expression,Period 3,4
761,Test,Free Expression,Period 3,5
762,Test,Free Expression,Period 3,4
763,Test,Free Expression,Period 3,4
764,Test,Free Expression,Period 3,5
765,Test,Free Expression,Period 4,6
766,Test,Free Expression,Period 4,6
767,Test,Free Expression,Period 4,6
768,Test,Free Expression,Period 4,6
769,Test,Free Expression,Period 4,5
770,Test,Free Expression,Period 4,5
771,Test,Free Expression,Period 4,5
772,Test,Free Expression,Period 4,5
773,Test,Free Expression,Period 4,5
774,Test,Free Expression,Period 4,4
775,Test,Free Expression,Period 4,5
776,Test,Free Expression,Period 4,6
777,Test,Free Expression,Period 4,5
778,Test,Free Expression,Period 4,5
779,Test,Free Expression,Period 4,5
780,Test,Bystander View,Period 1,4
781,Test,Bystander View,Period 1,4
782,Test,Bystander View,Period 1,4
